Week,Recipe,Picks,Meal Kits/Crate
2020-17,A2,8,5
2020-17,B2,7,6
2020-17,C2,6,6
2020-17,D2,8,5
2020-17,E2,8,6
2020-17,F2,11,5
2020-17,H2,11,4
2020-17,I2,10,6
2020-17,J2,9,6
2020-17,G2,15,4
2020-17,O2,4,8
2020-17,A4,12,4
2020-17,B4,10,4
2020-17,C4,9,5
2020-17,D4,14,4
2020-17,E4,12,5
2020-17,F4,17,4
2020-17,H4,18,3
2020-17,I4,14,4
2020-17,J4,14,5
2020-17,G4,26,3
2020-17,K4,11,5
2020-17,L4,11,4
2020-17,M4,7,4
2020-17,N4,12,3
2020-17,R4,10,4
2020-17,S4,9,5
2020-17,T4,11,4
2020-17,O4,6,7
2020-18,A2,7,6
2020-18,B2,12,6
2020-18,C2,7,7
2020-18,D2,7,4
2020-18,E2,12,4
2020-18,F2,7,6
2020-18,H2,10,5
2020-18,I2,10,4
2020-18,J2,8,5
2020-18,G2,8,5
2020-18,O2,10,4
2020-18,A4,11,5
2020-18,B4,18,5
2020-18,C4,11,5
2020-18,D4,9,3
2020-18,E4,20,3
2020-18,F4,12,4
2020-18,H4,15,3
2020-18,I4,16,3
2020-18,J4,13,4
2020-18,G4,13,3
2020-18,K4,9,4
2020-18,L4,12,5
2020-18,M4,9,5
2020-18,N4,10,4
2020-18,R4,14,3
2020-18,S4,14,3
2020-18,T4,14,4
2020-18,O4,14,3
2020-19,A2,4,6
2020-19,B2,7,5
2020-19,C2,10,5
2020-19,D2,10,5
2020-19,E2,9,5
2020-19,F2,9,5
2020-19,H2,9,4
2020-19,I2,10,4
2020-19,J2,11,4
2020-19,G2,10,4
2020-19,O2,13,4
2020-19,A4,6,4
2020-19,B4,9,4
2020-19,C4,13,4
2020-19,D4,14,4
2020-19,E4,15,4
2020-19,F4,13,4
2020-19,H4,13,4
2020-19,I4,14,3
2020-19,J4,18,3
2020-19,G4,16,3
2020-19,K4,8,4
2020-19,L4,12,4
2020-19,M4,9,4
2020-19,N4,9,3
2020-19,R4,12,4
2020-19,S4,17,3
2020-19,T4,16,3
2020-19,O4,16,3
2020-20,A2,9,6
2020-20,B2,10,6
2020-20,C2,10,4
2020-20,D2,5,8
2020-20,E2,6,8
2020-20,F2,10,4
2020-20,H2,9,4
2020-20,I2,9,5
2020-20,J2,11,4
2020-20,G2,13,4
2020-20,O2,6,5
2020-20,A4,11,4
2020-20,B4,14,4
2020-20,C4,16,4
2020-20,D4,9,6
2020-20,E4,8,6
2020-20,F4,13,3
2020-20,H4,13,3
2020-20,I4,13,4
2020-20,J4,17,3
2020-20,G4,21,3
2020-20,K4,14,5
2020-20,L4,12,4
2020-20,M4,8,6
2020-20,N4,10,4
2020-20,R4,10,5
2020-20,S4,10,3
2020-20,T4,12,4
2020-20,O4,9,4
2020-21,A2,6,7
2020-21,B2,9,5
2020-21,C2,6,4
2020-21,D2,10,6
2020-21,E2,8,5
2020-21,F2,8,4
2020-21,H2,9,5
2020-21,I2,9,6
2020-21,J2,10,5
2020-21,G2,8,4
2020-21,O2,7,6
2020-21,A4,7,6
2020-21,B4,13,4
2020-21,C4,10,3
2020-21,D4,16,5
2020-21,E4,12,4
2020-21,F4,11,3
2020-21,H4,13,4
2020-21,I4,14,5
2020-21,J4,15,4
2020-21,G4,13,3
2020-21,K4,12,4
2020-21,L4,11,4
2020-21,M4,13,4
2020-21,N4,14,4
2020-21,R4,13,5
2020-21,S4,10,4
2020-21,T4,16,4
2020-21,O4,9,5
2020-22,A2,9,6
2020-22,B2,6,6
2020-22,C2,8,6
2020-22,D2,7,8
2020-22,E2,4,5
2020-22,F2,8,7
2020-22,H2,13,4
2020-22,I2,6,6
2020-22,J2,13,4
2020-22,G2,12,5
2020-22,O2,10,5
2020-22,A4,12,5
2020-22,B4,8,5
2020-22,C4,13,4
2020-22,D4,11,6
2020-22,E4,5,4
2020-22,F4,11,5
2020-22,H4,20,3
2020-22,I4,9,5
2020-22,J4,22,3
2020-22,G4,17,4
2020-22,K4,12,5
2020-22,L4,11,5
2020-22,M4,6,6
2020-22,N4,9,6
2020-22,R4,11,3
2020-22,S4,11,4
2020-22,T4,14,4
2020-22,O4,16,4
2020-23,A2,7,6
2020-23,B2,8,5
2020-23,C2,7,6
2020-23,D2,11,5
2020-23,E2,6,7
2020-23,F2,9,4
2020-23,H2,13,4
2020-23,I2,8,8
2020-23,J2,9,5
2020-23,G2,8,5
2020-23,O2,8,5
2020-23,P2,10,4
2020-23,Q2,7,7
2020-23,A4,10,5
2020-23,B4,9,3
2020-23,C4,11,5
2020-23,D4,17,4
2020-23,E4,7,5
2020-23,F4,15,3
2020-23,H4,19,3
2020-23,I4,13,6
2020-23,J4,14,4
2020-23,G4,12,4
2020-23,K4,14,4
2020-23,L4,11,4
2020-23,M4,8,4
2020-23,N4,12,4
2020-23,R4,10,5
2020-23,S4,13,5
2020-23,T4,9,6
2020-23,O4,13,4
2020-23,P4,14,3
2020-23,Q4,9,5
