Week,Recipe,Picks,Meal Kits/Crate,VE,E,M,D,VD
2020-20,A2,9,6,,,,,
2020-20,B2,10,6,,,,,
2020-20,C2,10,4,,,,,
2020-20,D2,5,8,,,,,
2020-20,E2,6,8,,,,,
2020-20,F2,10,4,,,,,
2020-20,H2,9,4,,,,,
2020-20,I2,9,5,,,,,
2020-20,J2,11,4,,,,,
2020-20,G2,13,4,,,,,
2020-20,O2,6,5,,,,,
2020-20,A4,11,4,,,,,
2020-20,B4,14,4,,,,,
2020-20,C4,16,4,,,,,
2020-20,D4,9,6,,,,,
2020-20,E4,8,6,,,,,
2020-20,F4,13,3,,,,,
2020-20,H4,13,3,,,,,
2020-20,I4,13,4,,,,,
2020-20,J4,17,3,,,,,
2020-20,G4,21,3,,,,,
2020-20,K4,14,5,,,,,
2020-20,L4,12,4,,,,,
2020-20,M4,8,6,,,,,
2020-20,N4,10,4,,,,,
2020-20,R4,10,5,,,,,
2020-20,S4,10,3,,,,,
2020-20,T4,12,4,,,,,
2020-20,O4,9,4,,,,,
